target,model,alpha,pearson_mean,pearson_std,mse_mean,mse_std,mae_mean,mae_std
raw_ms,Mean baseline,,,0.0,4851646.335732421,0.0,1635.8163861973942,0.0
log_ms,Mean baseline,,,0.0,0.20291259210761967,0.0,0.35551139059836667,0.0
raw_ms,Length-only (num_words) + Ridge,0.01,0.8777036054258843,0.03512592907520846,1108645.6080770255,310263.21033688297,791.6911287018659,82.98584066690732
log_ms,Length-only (num_words) + Ridge,1.0,0.8553081126572701,0.023353087668380474,0.05496823306504486,0.00609182217993232,0.18758746496040724,0.008981603750169872
raw_ms,Baseline features + Ridge,1.0,0.8908705651878188,0.03018115259902566,990665.9601519059,216568.9283099371,756.4507708411539,61.08108313067896
log_ms,Baseline features + Ridge,0.01,0.8796537306961876,0.027223088144854985,0.04576931186731096,0.006158995212073042,0.17121213997460277,0.009989728043015624
raw_ms,TF-IDF (1-2 grams) + Ridge,1.0,0.5464974439653358,0.08542181115890754,3550387.5834454126,907902.3457750953,1414.7934145140553,128.30080521364542
log_ms,TF-IDF (1-2 grams) + Ridge,0.1,0.5932388009085352,0.09772522072877904,0.1402151352860773,0.028523150066709906,0.2907511804535384,0.034254554005823536
raw_ms,bert-base-uncased embeddings + Ridge,100.0,0.7905566122746895,0.050761918963383924,1898525.9023231803,611555.62521317,1019.9934111242625,140.6551875348611
log_ms,bert-base-uncased embeddings + Ridge,100.0,0.8718192439975383,0.023453666735197342,0.04935332949773306,0.009082946449826112,0.1764197367195434,0.017501638824225133
