sentence_text,y_true_raw_ms,y_pred_raw_ms,abs_error
"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",12457.555555555557,8317.861510062736,4139.694045492821
"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",10085.111111111111,6527.757597502243,3557.3535136088685
"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",9533.666666666666,6119.03566208072,3414.6310045859464
"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",11097.666666666666,8157.47785646646,2940.188810200206
"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",12354.444444444443,9421.69966908796,2932.744775356483
"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.",6706.888888888889,9366.82200456187,2659.9331156729804
"Klaas finished his career at Washington having played in 69 games, scoring ten goals and 21 assists.",6725.529411764706,4244.5106573046205,2481.018754460086
"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",11098.666666666666,8703.219260683822,2395.4474059828444
"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",5667.555555555556,3413.6580463509426,2253.897509204613
"At the time, it was not possible for the authorities in each area to link the two convictions which would have resulted in the second offence being viewed much more seriously.",4713.411764705882,6965.965578726778,2252.5538140208964
